number,code,browser,shortname
220,U+1F471 U+200D U+2642 U+FE0F,👱‍♂️,man: blond hair
222,U+1F474,👴,old man
223,U+1F475,👵,old woman
224,U+1F64D,🙍,person frowning
225,U+1F64D U+200D U+2642 U+FE0F,🙍‍♂️,man frowning
226,U+1F64D U+200D U+2640 U+FE0F,🙍‍♀️,woman frowning
227,U+1F64E,🙎,person pouting
228,U+1F64E U+200D U+2642 U+FE0F,🙎‍♂️,man pouting
229,U+1F64E U+200D U+2640 U+FE0F,🙎‍♀️,woman pouting
230,U+1F645,🙅,person gesturing NO
231,U+1F645 U+200D U+2642 U+FE0F,🙅‍♂️,man gesturing NO
232,U+1F645 U+200D U+2640 U+FE0F,🙅‍♀️,woman gesturing NO
233,U+1F646,🙆,person gesturing OK
234,U+1F646 U+200D U+2642 U+FE0F,🙆‍♂️,man gesturing OK
235,U+1F646 U+200D U+2640 U+FE0F,🙆‍♀️,woman gesturing OK
236,U+1F481,💁,person tipping hand
237,U+1F481 U+200D U+2642 U+FE0F,💁‍♂️,man tipping hand
238,U+1F481 U+200D U+2640 U+FE0F,💁‍♀️,woman tipping hand
239,U+1F64B,🙋,person raising hand
240,U+1F64B U+200D U+2642 U+FE0F,🙋‍♂️,man raising hand
241,U+1F64B U+200D U+2640 U+FE0F,🙋‍♀️,woman raising hand
245,U+1F647,🙇,person bowing
246,U+1F647 U+200D U+2642 U+FE0F,🙇‍♂️,man bowing
247,U+1F647 U+200D U+2640 U+FE0F,🙇‍♀️,woman bowing
248,U+1F926,🤦,person facepalming
249,U+1F926 U+200D U+2642 U+FE0F,🤦‍♂️,man facepalming
250,U+1F926 U+200D U+2640 U+FE0F,🤦‍♀️,woman facepalming
251,U+1F937,🤷,person shrugging
252,U+1F937 U+200D U+2642 U+FE0F,🤷‍♂️,man shrugging
253,U+1F937 U+200D U+2640 U+FE0F,🤷‍♀️,woman shrugging
255,U+1F468 U+200D U+2695 U+FE0F,👨‍⚕️,man health worker
256,U+1F469 U+200D U+2695 U+FE0F,👩‍⚕️,woman health worker
258,U+1F468 U+200D U+1F393,👨‍🎓,man student
259,U+1F469 U+200D U+1F393,👩‍🎓,woman student
261,U+1F468 U+200D U+1F3EB,👨‍🏫,man teacher
262,U+1F469 U+200D U+1F3EB,👩‍🏫,woman teacher
264,U+1F468 U+200D U+2696 U+FE0F,👨‍⚖️,man judge
265,U+1F469 U+200D U+2696 U+FE0F,👩‍⚖️,woman judge
267,U+1F468 U+200D U+1F33E,👨‍🌾,man farmer
268,U+1F469 U+200D U+1F33E,👩‍🌾,woman farmer
