number,code,browser,shortname
785,U+1F303,🌃,night with stars
786,U+1F3D9,🏙,cityscape
787,U+1F304,🌄,sunrise over mountains
788,U+1F305,🌅,sunrise
789,U+1F306,🌆,cityscape at dusk
790,U+1F307,🌇,sunset
791,U+1F309,🌉,bridge at night
792,U+2668,♨,hot springs
793,U+1F3A0,🎠,carousel horse
794,U+1F3A1,🎡,ferris wheel
795,U+1F3A2,🎢,roller coaster
796,U+1F488,💈,barber pole
797,U+1F3AA,🎪,circus tent
798,U+1F682,🚂,locomotive
799,U+1F683,🚃,railway car
800,U+1F684,🚄,high-speed train
801,U+1F685,🚅,bullet train
802,U+1F686,🚆,train
803,U+1F687,🚇,metro
804,U+1F688,🚈,light rail
805,U+1F689,🚉,station
806,U+1F68A,🚊,tram
807,U+1F69D,🚝,monorail
808,U+1F69E,🚞,mountain railway
809,U+1F68B,🚋,tram car
810,U+1F68C,🚌,bus
811,U+1F68D,🚍,oncoming bus
812,U+1F68E,🚎,trolleybus
813,U+1F690,🚐,minibus
814,U+1F691,🚑,ambulance
815,U+1F692,🚒,fire engine
816,U+1F693,🚓,police car
817,U+1F694,🚔,oncoming police car
818,U+1F695,🚕,taxi
819,U+1F696,🚖,oncoming taxi
820,U+1F697,🚗,automobile
821,U+1F698,🚘,oncoming automobile
822,U+1F699,🚙,sport utility vehicle
823,U+1F69A,🚚,delivery truck
824,U+1F69B,🚛,articulated lorry
825,U+1F69C,🚜,tractor
826,U+1F3CE,🏎,racing car
827,U+1F3CD,🏍,motorcycle
828,U+1F6F5,🛵,motor scooter
832,U+1F6B2,🚲,bicycle
833,U+1F6F4,🛴,kick scooter
835,U+1F68F,🚏,bus stop
836,U+1F6E3,🛣,motorway
837,U+1F6E4,🛤,railway track
838,U+1F6E2,🛢,oil drum
839,U+26FD,⛽,fuel pump
840,U+1F6A8,🚨,police car light
841,U+1F6A5,🚥,horizontal traffic light
842,U+1F6A6,🚦,vertical traffic light
843,U+1F6D1,🛑,stop sign
844,U+1F6A7,🚧,construction
845,U+2693,⚓,anchor
846,U+26F5,⛵,sailboat
847,U+1F6F6,🛶,canoe
848,U+1F6A4,🚤,speedboat
849,U+1F6F3,🛳,passenger ship
850,U+26F4,⛴,ferry
851,U+1F6E5,🛥,motor boat
852,U+1F6A2,🚢,ship
853,U+2708,✈,airplane
854,U+1F6E9,🛩,small airplane
855,U+1F6EB,🛫,airplane departure
856,U+1F6EC,🛬,airplane arrival
858,U+1F4BA,💺,seat
859,U+1F681,🚁,helicopter
860,U+1F69F,🚟,suspension railway
861,U+1F6A0,🚠,mountain cableway
862,U+1F6A1,🚡,aerial tramway
863,U+1F6F0,🛰,satellite
864,U+1F680,🚀,rocket
866,U+1F6CE,🛎,bellhop bell
868,U+231B,⌛,hourglass done
869,U+23F3,⏳,hourglass not done
870,U+231A,⌚,watch
871,U+23F0,⏰,alarm clock
872,U+23F1,⏱,stopwatch
873,U+23F2,⏲,timer clock
874,U+1F570,🕰,mantelpiece clock
875,U+1F55B,🕛,twelve o’clock
876,U+1F567,🕧,twelve-thirty
877,U+1F550,🕐,one o’clock
878,U+1F55C,🕜,one-thirty
879,U+1F551,🕑,two o’clock
880,U+1F55D,🕝,two-thirty
881,U+1F552,🕒,three o’clock
882,U+1F55E,🕞,three-thirty
883,U+1F553,🕓,four o’clock
884,U+1F55F,🕟,four-thirty
885,U+1F554,🕔,five o’clock
886,U+1F560,🕠,five-thirty
887,U+1F555,🕕,six o’clock
888,U+1F561,🕡,six-thirty
889,U+1F556,🕖,seven o’clock
890,U+1F562,🕢,seven-thirty
891,U+1F557,🕗,eight o’clock
892,U+1F563,🕣,eight-thirty
893,U+1F558,🕘,nine o’clock
894,U+1F564,🕤,nine-thirty
895,U+1F559,🕙,ten o’clock
896,U+1F565,🕥,ten-thirty
897,U+1F55A,🕚,eleven o’clock
898,U+1F566,🕦,eleven-thirty
899,U+1F311,🌑,new moon
900,U+1F312,🌒,waxing crescent moon
901,U+1F313,🌓,first quarter moon
902,U+1F314,🌔,waxing gibbous moon
903,U+1F315,🌕,full moon
904,U+1F316,🌖,waning gibbous moon
905,U+1F317,🌗,last quarter moon
906,U+1F318,🌘,waning crescent moon
907,U+1F319,🌙,crescent moon
908,U+1F31A,🌚,new moon face
909,U+1F31B,🌛,first quarter moon face
910,U+1F31C,🌜,last quarter moon face
911,U+1F321,🌡,thermometer
912,U+2600,☀,sun
913,U+1F31D,🌝,full moon face
914,U+1F31E,🌞,sun with face
916,U+2B50,⭐,star
917,U+1F31F,🌟,glowing star
918,U+1F320,🌠,shooting star
919,U+1F30C,🌌,milky way
920,U+2601,☁,cloud
921,U+26C5,⛅,sun behind cloud
922,U+26C8,⛈,cloud with lightning and rain
923,U+1F324,🌤,sun behind small cloud
924,U+1F325,🌥,sun behind large cloud
925,U+1F326,🌦,sun behind rain cloud
926,U+1F327,🌧,cloud with rain
927,U+1F328,🌨,cloud with snow
928,U+1F329,🌩,cloud with lightning
929,U+1F32A,🌪,tornado
930,U+1F32B,🌫,fog
931,U+1F32C,🌬,wind face
932,U+1F300,🌀,cyclone
933,U+1F308,🌈,rainbow
934,U+1F302,🌂,closed umbrella
935,U+2602,☂,umbrella
936,U+2614,☔,umbrella with rain drops
937,U+26F1,⛱,umbrella on ground
938,U+26A1,⚡,high voltage
939,U+2744,❄,snowflake
940,U+2603,☃,snowman
941,U+26C4,⛄,snowman without snow
942,U+2604,☄,comet
943,U+1F525,🔥,fire
944,U+1F4A7,💧,droplet
945,U+1F30A,🌊,water wave
946,U+1F383,🎃,jack-o-lantern
947,U+1F384,🎄,Christmas tree
948,U+1F386,🎆,fireworks
949,U+1F387,🎇,sparkler
951,U+2728,✨,sparkles
952,U+1F388,🎈,balloon
953,U+1F389,🎉,party popper
954,U+1F38A,🎊,confetti ball
955,U+1F38B,🎋,tanabata tree
956,U+1F38D,🎍,pine decoration
957,U+1F38E,🎎,Japanese dolls
958,U+1F38F,🎏,carp streamer
959,U+1F390,🎐,wind chime
960,U+1F391,🎑,moon viewing ceremony
962,U+1F380,🎀,ribbon
963,U+1F381,🎁,wrapped gift
964,U+1F397,🎗,reminder ribbon
965,U+1F39F,🎟,admission tickets
966,U+1F3AB,🎫,ticket
967,U+1F396,🎖,military medal
968,U+1F3C6,🏆,trophy
969,U+1F3C5,🏅,sports medal
970,U+1F947,🥇,1st place medal
971,U+1F948,🥈,2nd place medal
972,U+1F949,🥉,3rd place medal
973,U+26BD,⚽,soccer ball
974,U+26BE,⚾,baseball
976,U+1F3C0,🏀,basketball
977,U+1F3D0,🏐,volleyball
978,U+1F3C8,🏈,american football
979,U+1F3C9,🏉,rugby football
980,U+1F3BE,🎾,tennis
982,U+1F3B3,🎳,bowling
983,U+1F3CF,🏏,cricket game
984,U+1F3D1,🏑,field hockey
985,U+1F3D2,🏒,ice hockey
987,U+1F3D3,🏓,ping pong
988,U+1F3F8,🏸,badminton
989,U+1F94A,🥊,boxing glove
990,U+1F94B,🥋,martial arts uniform
991,U+1F945,🥅,goal net
992,U+26F3,⛳,flag in hole
993,U+26F8,⛸,ice skate
994,U+1F3A3,🎣,fishing pole
996,U+1F3BD,🎽,running shirt
997,U+1F3BF,🎿,skis
1000,U+1F3AF,🎯,direct hit
1003,U+1F3B1,🎱,pool 8 ball
1004,U+1F52E,🔮,crystal ball
1006,U+1F3AE,🎮,video game
1007,U+1F579,🕹,joystick
1008,U+1F3B0,🎰,slot machine
1009,U+1F3B2,🎲,game die
1012,U+2660,♠,spade suit
1013,U+2665,♥,heart suit
1014,U+2666,♦,diamond suit
1015,U+2663,♣,club suit
1016,U+265F,♟,chess pawn
1017,U+1F0CF,🃏,joker
1018,U+1F004,🀄,mahjong red dragon
1019,U+1F3B4,🎴,flower playing cards
1020,U+1F3AD,🎭,performing arts
1021,U+1F5BC,🖼,framed picture
1022,U+1F3A8,🎨,artist palette
1025,U+1F453,👓,glasses
1026,U+1F576,🕶,sunglasses
1030,U+1F454,👔,necktie
1031,U+1F455,👕,t-shirt
1032,U+1F456,👖,jeans
1037,U+1F457,👗,dress
1038,U+1F458,👘,kimono
1043,U+1F459,👙,bikini
1044,U+1F45A,👚,woman’s clothes
1045,U+1F45B,👛,purse
1046,U+1F45C,👜,handbag
1047,U+1F45D,👝,clutch bag
1048,U+1F6CD,🛍,shopping bags
1049,U+1F392,🎒,backpack
1050,U+1F45E,👞,man’s shoe
1051,U+1F45F,👟,running shoe
1054,U+1F460,👠,high-heeled shoe
1055,U+1F461,👡,woman’s sandal
1057,U+1F462,👢,woman’s boot
1058,U+1F451,👑,crown
1059,U+1F452,👒,woman’s hat
1060,U+1F3A9,🎩,top hat
1061,U+1F393,🎓,graduation cap
1063,U+26D1,⛑,rescue worker’s helmet
1064,U+1F4FF,📿,prayer beads
1065,U+1F484,💄,lipstick
1066,U+1F48D,💍,ring
1067,U+1F48E,💎,gem stone
1068,U+1F507,🔇,muted speaker
1069,U+1F508,🔈,speaker low volume
1070,U+1F509,🔉,speaker medium volume
1071,U+1F50A,🔊,speaker high volume
1072,U+1F4E2,📢,loudspeaker
1073,U+1F4E3,📣,megaphone
1074,U+1F4EF,📯,postal horn
1075,U+1F514,🔔,bell
1076,U+1F515,🔕,bell with slash
1077,U+1F3BC,🎼,musical score
1078,U+1F3B5,🎵,musical note
1079,U+1F3B6,🎶,musical notes
1080,U+1F399,🎙,studio microphone
1081,U+1F39A,🎚,level slider
1082,U+1F39B,🎛,control knobs
1083,U+1F3A4,🎤,microphone
1084,U+1F3A7,🎧,headphone
1085,U+1F4FB,📻,radio
1086,U+1F3B7,🎷,saxophone
1087,U+1F3B8,🎸,guitar
1088,U+1F3B9,🎹,musical keyboard
1089,U+1F3BA,🎺,trumpet
1090,U+1F3BB,🎻,violin
1092,U+1F941,🥁,drum
1093,U+1F4F1,📱,mobile phone
1094,U+1F4F2,📲,mobile phone with arrow
1095,U+260E,☎,telephone
1096,U+1F4DE,📞,telephone receiver
1097,U+1F4DF,📟,pager
1098,U+1F4E0,📠,fax machine
1099,U+1F50B,🔋,battery
1100,U+1F50C,🔌,electric plug
1101,U+1F4BB,💻,laptop
1102,U+1F5A5,🖥,desktop computer
1103,U+1F5A8,🖨,printer
1104,U+2328,⌨,keyboard
1105,U+1F5B1,🖱,computer mouse
1106,U+1F5B2,🖲,trackball
1107,U+1F4BD,💽,computer disk
1108,U+1F4BE,💾,floppy disk
1109,U+1F4BF,💿,optical disk
1110,U+1F4C0,📀,dvd
1112,U+1F3A5,🎥,movie camera
1113,U+1F39E,🎞,film frames
1114,U+1F4FD,📽,film projector
1115,U+1F3AC,🎬,clapper board
1116,U+1F4FA,📺,television
1117,U+1F4F7,📷,camera
1118,U+1F4F8,📸,camera with flash
1119,U+1F4F9,📹,video camera
1120,U+1F4FC,📼,videocassette
1121,U+1F50D,🔍,magnifying glass tilted left
1122,U+1F50E,🔎,magnifying glass tilted right
1123,U+1F56F,🕯,candle
1124,U+1F4A1,💡,light bulb
1125,U+1F526,🔦,flashlight
1126,U+1F3EE,🏮,red paper lantern
1128,U+1F4D4,📔,notebook with decorative cover
1129,U+1F4D5,📕,closed book
1130,U+1F4D6,📖,open book
1131,U+1F4D7,📗,green book
1132,U+1F4D8,📘,blue book
1133,U+1F4D9,📙,orange book
1134,U+1F4DA,📚,books
1135,U+1F4D3,📓,notebook
1136,U+1F4D2,📒,ledger
1137,U+1F4C3,📃,page with curl
1138,U+1F4DC,📜,scroll
1139,U+1F4C4,📄,page facing up
1140,U+1F4F0,📰,newspaper
1141,U+1F5DE,🗞,rolled-up newspaper
1142,U+1F4D1,📑,bookmark tabs
1143,U+1F516,🔖,bookmark
1144,U+1F3F7,🏷,label
1145,U+1F4B0,💰,money bag
1146,U+1F4B4,💴,yen banknote
1147,U+1F4B5,💵,dollar banknote
1148,U+1F4B6,💶,euro banknote
1149,U+1F4B7,💷,pound banknote
1150,U+1F4B8,💸,money with wings
1151,U+1F4B3,💳,credit card
1153,U+1F4B9,💹,chart increasing with yen
1154,U+2709,✉,envelope
1155,U+1F4E7,📧,e-mail
1156,U+1F4E8,📨,incoming envelope
1157,U+1F4E9,📩,envelope with arrow
1158,U+1F4E4,📤,outbox tray
1159,U+1F4E5,📥,inbox tray
1160,U+1F4E6,📦,package
1161,U+1F4EB,📫,closed mailbox with raised flag
1162,U+1F4EA,📪,closed mailbox with lowered flag
1163,U+1F4EC,📬,open mailbox with raised flag
1164,U+1F4ED,📭,open mailbox with lowered flag
1165,U+1F4EE,📮,postbox
1166,U+1F5F3,🗳,ballot box with ballot
1167,U+270F,✏,pencil
1168,U+2712,✒,black nib
1169,U+1F58B,🖋,fountain pen
1170,U+1F58A,🖊,pen
1171,U+1F58C,🖌,paintbrush
1172,U+1F58D,🖍,crayon
1173,U+1F4DD,📝,memo
1174,U+1F4BC,💼,briefcase
1175,U+1F4C1,📁,file folder
1176,U+1F4C2,📂,open file folder
1177,U+1F5C2,🗂,card index dividers
1178,U+1F4C5,📅,calendar
1179,U+1F4C6,📆,tear-off calendar
1180,U+1F5D2,🗒,spiral notepad
1181,U+1F5D3,🗓,spiral calendar
1182,U+1F4C7,📇,card index
1183,U+1F4C8,📈,chart increasing
1184,U+1F4C9,📉,chart decreasing
1185,U+1F4CA,📊,bar chart
1186,U+1F4CB,📋,clipboard
1187,U+1F4CC,📌,pushpin
1188,U+1F4CD,📍,round pushpin
1189,U+1F4CE,📎,paperclip
1190,U+1F587,🖇,linked paperclips
1191,U+1F4CF,📏,straight ruler
1192,U+1F4D0,📐,triangular ruler
1193,U+2702,✂,scissors
1194,U+1F5C3,🗃,card file box
1195,U+1F5C4,🗄,file cabinet
1196,U+1F5D1,🗑,wastebasket
1197,U+1F512,🔒,locked
1198,U+1F513,🔓,unlocked
1199,U+1F50F,🔏,locked with pen
1200,U+1F510,🔐,locked with key
1201,U+1F511,🔑,key
1202,U+1F5DD,🗝,old key
1203,U+1F528,🔨,hammer
1205,U+26CF,⛏,pick
1206,U+2692,⚒,hammer and pick
1207,U+1F6E0,🛠,hammer and wrench
1208,U+1F5E1,🗡,dagger
1209,U+2694,⚔,crossed swords
1210,U+1F52B,🔫,pistol
1211,U+1F3F9,🏹,bow and arrow
1212,U+1F6E1,🛡,shield
1213,U+1F527,🔧,wrench
1214,U+1F529,🔩,nut and bolt
1215,U+2699,⚙,gear
1216,U+1F5DC,🗜,clamp
1217,U+2696,⚖,balance scale
1219,U+1F517,🔗,link
1220,U+26D3,⛓,chains
1223,U+2697,⚗,alembic
1227,U+1F52C,🔬,microscope
1228,U+1F52D,🔭,telescope
1229,U+1F4E1,📡,satellite antenna
1230,U+1F489,💉,syringe
1232,U+1F48A,💊,pill
1235,U+1F6AA,🚪,door
1236,U+1F6CF,🛏,bed
1237,U+1F6CB,🛋,couch and lamp
1239,U+1F6BD,🚽,toilet
1240,U+1F6BF,🚿,shower
1241,U+1F6C1,🛁,bathtub
1251,U+1F6D2,🛒,shopping cart
1252,U+1F6AC,🚬,cigarette
1253,U+26B0,⚰,coffin
1254,U+26B1,⚱,funeral urn
1255,U+1F5FF,🗿,moai
1256,U+1F3E7,🏧,ATM sign
1257,U+1F6AE,🚮,litter in bin sign
1258,U+1F6B0,🚰,potable water
1259,U+267F,♿,wheelchair symbol
1260,U+1F6B9,🚹,men’s room
1261,U+1F6BA,🚺,women’s room
1262,U+1F6BB,🚻,restroom
1263,U+1F6BC,🚼,baby symbol
1264,U+1F6BE,🚾,water closet
1265,U+1F6C2,🛂,passport control
1266,U+1F6C3,🛃,customs
1267,U+1F6C4,🛄,baggage claim
1268,U+1F6C5,🛅,left luggage
1269,U+26A0,⚠,warning
1270,U+1F6B8,🚸,children crossing
1271,U+26D4,⛔,no entry
1272,U+1F6AB,🚫,prohibited
1273,U+1F6B3,🚳,no bicycles
1274,U+1F6AD,🚭,no smoking
1275,U+1F6AF,🚯,no littering
1276,U+1F6B1,🚱,non-potable water
1277,U+1F6B7,🚷,no pedestrians
1278,U+1F4F5,📵,no mobile phones
1279,U+1F51E,🔞,no one under eighteen
1280,U+2622,☢,radioactive
1281,U+2623,☣,biohazard
1282,U+2B06,⬆,up arrow
1283,U+2197,↗,up-right arrow
1284,U+27A1,➡,right arrow
1285,U+2198,↘,down-right arrow
1286,U+2B07,⬇,down arrow
1287,U+2199,↙,down-left arrow
1288,U+2B05,⬅,left arrow
1289,U+2196,↖,up-left arrow
1290,U+2195,↕,up-down arrow
1291,U+2194,↔,left-right arrow
1292,U+21A9,↩,right arrow curving left
1293,U+21AA,↪,left arrow curving right
1294,U+2934,⤴,right arrow curving up
1295,U+2935,⤵,right arrow curving down
1296,U+1F503,🔃,clockwise vertical arrows
1297,U+1F504,🔄,counterclockwise arrows button
1298,U+1F519,🔙,BACK arrow
1299,U+1F51A,🔚,END arrow
1300,U+1F51B,🔛,ON! arrow
1301,U+1F51C,🔜,SOON arrow
1302,U+1F51D,🔝,TOP arrow
1303,U+1F6D0,🛐,place of worship
1304,U+269B,⚛,atom symbol
1305,U+1F549,🕉,om
1306,U+2721,✡,star of David
1307,U+2638,☸,wheel of dharma
1308,U+262F,☯,yin yang
1309,U+271D,✝,latin cross
1310,U+2626,☦,orthodox cross
1311,U+262A,☪,star and crescent
1312,U+262E,☮,peace symbol
1313,U+1F54E,🕎,menorah
1314,U+1F52F,🔯,dotted six-pointed star
1315,U+2648,♈,Aries
1316,U+2649,♉,Taurus
1317,U+264A,♊,Gemini
1318,U+264B,♋,Cancer
1319,U+264C,♌,Leo
1320,U+264D,♍,Virgo
1321,U+264E,♎,Libra
1322,U+264F,♏,Scorpio
1323,U+2650,♐,Sagittarius
1324,U+2651,♑,Capricorn
1325,U+2652,♒,Aquarius
1326,U+2653,♓,Pisces
1327,U+26CE,⛎,Ophiuchus
1328,U+1F500,🔀,shuffle tracks button
1329,U+1F501,🔁,repeat button
1330,U+1F502,🔂,repeat single button
1331,U+25B6,▶,play button
1332,U+23E9,⏩,fast-forward button
1333,U+23ED,⏭,next track button
1334,U+23EF,⏯,play or pause button
1335,U+25C0,◀,reverse button
1336,U+23EA,⏪,fast reverse button
1337,U+23EE,⏮,last track button
1338,U+1F53C,🔼,upwards button
1339,U+23EB,⏫,fast up button
1340,U+1F53D,🔽,downwards button
1341,U+23EC,⏬,fast down button
1342,U+23F8,⏸,pause button
1343,U+23F9,⏹,stop button
1344,U+23FA,⏺,record button
1345,U+23CF,⏏,eject button
1346,U+1F3A6,🎦,cinema
1347,U+1F505,🔅,dim button
1348,U+1F506,🔆,bright button
1349,U+1F4F6,📶,antenna bars
1350,U+1F4F3,📳,vibration mode
1351,U+1F4F4,📴,mobile phone off
1352,U+2640,♀,female sign
1353,U+2642,♂,male sign
1354,U+2716,✖,multiply
1355,U+2795,➕,plus
1356,U+2796,➖,minus
1357,U+2797,➗,divide
1358,U+267E,♾,infinity
1359,U+203C,‼,double exclamation mark
1360,U+2049,⁉,exclamation question mark
1361,U+2753,❓,question mark
1362,U+2754,❔,white question mark
1363,U+2755,❕,white exclamation mark
1364,U+2757,❗,exclamation mark
1365,U+3030,〰,wavy dash
1366,U+1F4B1,💱,currency exchange
1367,U+1F4B2,💲,heavy dollar sign
1368,U+2695,⚕,medical symbol
1369,U+267B,♻,recycling symbol
1370,U+269C,⚜,fleur-de-lis
1371,U+1F531,🔱,trident emblem
1372,U+1F4DB,📛,name badge
1373,U+1F530,🔰,Japanese symbol for beginner
1374,U+2B55,⭕,hollow red circle
1375,U+2705,✅,check mark button
1376,U+2611,☑,check box with check
1377,U+2714,✔,check mark
1378,U+274C,❌,cross mark
1379,U+274E,❎,cross mark button
1380,U+27B0,➰,curly loop
1381,U+27BF,➿,double curly loop
1382,U+303D,〽,part alternation mark
1383,U+2733,✳,eight-spoked asterisk
1384,U+2734,✴,eight-pointed star
1385,U+2747,❇,sparkle
1386,U+00A9,©,copyright
1387,U+00AE,®,registered
1388,U+2122,™,trade mark
1389,U+0023 U+FE0F U+20E3,#️⃣,keycap: #
1390,U+002A U+FE0F U+20E3,*️⃣,keycap: *
1391,U+0030 U+FE0F U+20E3,0️⃣,keycap: 0
1392,U+0031 U+FE0F U+20E3,1️⃣,keycap: 1
1393,U+0032 U+FE0F U+20E3,2️⃣,keycap: 2
1394,U+0033 U+FE0F U+20E3,3️⃣,keycap: 3
1395,U+0034 U+FE0F U+20E3,4️⃣,keycap: 4
1396,U+0035 U+FE0F U+20E3,5️⃣,keycap: 5
1397,U+0036 U+FE0F U+20E3,6️⃣,keycap: 6
1398,U+0037 U+FE0F U+20E3,7️⃣,keycap: 7
1399,U+0038 U+FE0F U+20E3,8️⃣,keycap: 8
1400,U+0039 U+FE0F U+20E3,9️⃣,keycap: 9
1401,U+1F51F,🔟,keycap: 10
1402,U+1F520,🔠,input latin uppercase
1403,U+1F521,🔡,input latin lowercase
1404,U+1F522,🔢,input numbers
1405,U+1F523,🔣,input symbols
1406,U+1F524,🔤,input latin letters
1407,U+1F170,🅰,A button (blood type)
1408,U+1F18E,🆎,AB button (blood type)
1409,U+1F171,🅱,B button (blood type)
1410,U+1F191,🆑,CL button
1411,U+1F192,🆒,COOL button
1412,U+1F193,🆓,FREE button
1413,U+2139,ℹ,information
1414,U+1F194,🆔,ID button
1415,U+24C2,Ⓜ,circled M
1416,U+1F195,🆕,NEW button
1417,U+1F196,🆖,NG button
1418,U+1F17E,🅾,O button (blood type)
1419,U+1F197,🆗,OK button
1420,U+1F17F,🅿,P button
1421,U+1F198,🆘,SOS button
1422,U+1F199,🆙,UP! button
1423,U+1F19A,🆚,VS button
1424,U+1F201,🈁,Japanese “here” button
1425,U+1F202,🈂,Japanese “service charge” button
1426,U+1F237,🈷,Japanese “monthly amount” button
1427,U+1F236,🈶,Japanese “not free of charge” button
1428,U+1F22F,🈯,Japanese “reserved” button
1429,U+1F250,🉐,Japanese “bargain” button
1430,U+1F239,🈹,Japanese “discount” button
1431,U+1F21A,🈚,Japanese “free of charge” button
1432,U+1F232,🈲,Japanese “prohibited” button
1433,U+1F251,🉑,Japanese “acceptable” button
1434,U+1F238,🈸,Japanese “application” button
1435,U+1F234,🈴,Japanese “passing grade” button
1436,U+1F233,🈳,Japanese “vacancy” button
1437,U+3297,㊗,Japanese “congratulations” button
1438,U+3299,㊙,Japanese “secret” button
1439,U+1F23A,🈺,Japanese “open for business” button
1440,U+1F235,🈵,Japanese “no vacancy” button
1441,U+1F534,🔴,red circle
1445,U+1F535,🔵,blue circle
1448,U+26AB,⚫,black circle
1449,U+26AA,⚪,white circle
1457,U+2B1B,⬛,black large square
1458,U+2B1C,⬜,white large square
1459,U+25FC,◼,black medium square
1460,U+25FB,◻,white medium square
1461,U+25FE,◾,black medium-small square
1462,U+25FD,◽,white medium-small square
1463,U+25AA,▪,black small square
1464,U+25AB,▫,white small square
1465,U+1F536,🔶,large orange diamond
1466,U+1F537,🔷,large blue diamond
1467,U+1F538,🔸,small orange diamond
1468,U+1F539,🔹,small blue diamond
1469,U+1F53A,🔺,red triangle pointed up
1470,U+1F53B,🔻,red triangle pointed down
1471,U+1F4A0,💠,diamond with a dot
1472,U+1F518,🔘,radio button
1473,U+1F533,🔳,white square button
1474,U+1F532,🔲,black square button
1475,U+1F3C1,🏁,chequered flag
1476,U+1F6A9,🚩,triangular flag
1477,U+1F38C,🎌,crossed flags
1478,U+1F3F4,🏴,black flag
1479,U+1F3F3,🏳,white flag
1480,U+1F3F3 U+FE0F U+200D U+1F308,🏳️‍🌈,rainbow flag
1481,U+1F3F4 U+200D U+2620 U+FE0F,🏴‍☠️,pirate flag
1482,U+1F1E6 U+1F1E8,🇦🇨,flag: Ascension Island
1483,U+1F1E6 U+1F1E9,🇦🇩,flag: Andorra
1484,U+1F1E6 U+1F1EA,🇦🇪,flag: United Arab Emirates
1485,U+1F1E6 U+1F1EB,🇦🇫,flag: Afghanistan
1486,U+1F1E6 U+1F1EC,🇦🇬,flag: Antigua & Barbuda
1487,U+1F1E6 U+1F1EE,🇦🇮,flag: Anguilla
1488,U+1F1E6 U+1F1F1,🇦🇱,flag: Albania
1489,U+1F1E6 U+1F1F2,🇦🇲,flag: Armenia
1490,U+1F1E6 U+1F1F4,🇦🇴,flag: Angola
1491,U+1F1E6 U+1F1F6,🇦🇶,flag: Antarctica
1492,U+1F1E6 U+1F1F7,🇦🇷,flag: Argentina
1493,U+1F1E6 U+1F1F8,🇦🇸,flag: American Samoa
1494,U+1F1E6 U+1F1F9,🇦🇹,flag: Austria
1495,U+1F1E6 U+1F1FA,🇦🇺,flag: Australia
1496,U+1F1E6 U+1F1FC,🇦🇼,flag: Aruba
1497,U+1F1E6 U+1F1FD,🇦🇽,flag: Åland Islands
1498,U+1F1E6 U+1F1FF,🇦🇿,flag: Azerbaijan
1499,U+1F1E7 U+1F1E6,🇧🇦,flag: Bosnia & Herzegovina
1500,U+1F1E7 U+1F1E7,🇧🇧,flag: Barbados
1501,U+1F1E7 U+1F1E9,🇧🇩,flag: Bangladesh
1502,U+1F1E7 U+1F1EA,🇧🇪,flag: Belgium
1503,U+1F1E7 U+1F1EB,🇧🇫,flag: Burkina Faso
1504,U+1F1E7 U+1F1EC,🇧🇬,flag: Bulgaria
1505,U+1F1E7 U+1F1ED,🇧🇭,flag: Bahrain
1506,U+1F1E7 U+1F1EE,🇧🇮,flag: Burundi
1507,U+1F1E7 U+1F1EF,🇧🇯,flag: Benin
1508,U+1F1E7 U+1F1F1,🇧🇱,flag: St. Barthélemy
1509,U+1F1E7 U+1F1F2,🇧🇲,flag: Bermuda
1510,U+1F1E7 U+1F1F3,🇧🇳,flag: Brunei
1511,U+1F1E7 U+1F1F4,🇧🇴,flag: Bolivia
1512,U+1F1E7 U+1F1F6,🇧🇶,flag: Caribbean Netherlands
1513,U+1F1E7 U+1F1F7,🇧🇷,flag: Brazil
1514,U+1F1E7 U+1F1F8,🇧🇸,flag: Bahamas
1515,U+1F1E7 U+1F1F9,🇧🇹,flag: Bhutan
1516,U+1F1E7 U+1F1FB,🇧🇻,flag: Bouvet Island
1517,U+1F1E7 U+1F1FC,🇧🇼,flag: Botswana
1518,U+1F1E7 U+1F1FE,🇧🇾,flag: Belarus
1519,U+1F1E7 U+1F1FF,🇧🇿,flag: Belize
1520,U+1F1E8 U+1F1E6,🇨🇦,flag: Canada
1521,U+1F1E8 U+1F1E8,🇨🇨,flag: Cocos (Keeling) Islands
1522,U+1F1E8 U+1F1E9,🇨🇩,flag: Congo - Kinshasa
1523,U+1F1E8 U+1F1EB,🇨🇫,flag: Central African Republic
1524,U+1F1E8 U+1F1EC,🇨🇬,flag: Congo - Brazzaville
1525,U+1F1E8 U+1F1ED,🇨🇭,flag: Switzerland
1526,U+1F1E8 U+1F1EE,🇨🇮,flag: Côte d’Ivoire
1527,U+1F1E8 U+1F1F0,🇨🇰,flag: Cook Islands
1528,U+1F1E8 U+1F1F1,🇨🇱,flag: Chile
1529,U+1F1E8 U+1F1F2,🇨🇲,flag: Cameroon
1530,U+1F1E8 U+1F1F3,🇨🇳,flag: China
1531,U+1F1E8 U+1F1F4,🇨🇴,flag: Colombia
1532,U+1F1E8 U+1F1F5,🇨🇵,flag: Clipperton Island
1533,U+1F1E8 U+1F1F7,🇨🇷,flag: Costa Rica
1534,U+1F1E8 U+1F1FA,🇨🇺,flag: Cuba
1535,U+1F1E8 U+1F1FB,🇨🇻,flag: Cape Verde
1536,U+1F1E8 U+1F1FC,🇨🇼,flag: Curaçao
1537,U+1F1E8 U+1F1FD,🇨🇽,flag: Christmas Island
1538,U+1F1E8 U+1F1FE,🇨🇾,flag: Cyprus
1539,U+1F1E8 U+1F1FF,🇨🇿,flag: Czechia
1540,U+1F1E9 U+1F1EA,🇩🇪,flag: Germany
